
工具名称              | 工具用途
----------------------|-------------------------------------------
RKDevTool             | 分立升级固件及整个update升级固件工具
FactoryTool           | 量产升级工具
SecureBootTool        | 固件签名工具
efuseTool             | efuse烧写工具
RKDevInfoWriteTool    | 写号工具
SDDiskTool            | SD卡镜像制作
programmer_image_tool | 烧录器升级工具
DriverAssitant        | 驱动安装工具
pin_config_tool       | IO配置工具
RKImageMaker          | 打包工具
SpeakerPCBATool       | 音箱PCBA测试工具
RKDevTool_Release     | 固件烧录工具
ParameterTool         | 分区表修改工具
CameraFactoryTestTool	| 摄像头模组厂测工具
